chunk_id,doc_id,country,region,doc_name,doc_type,year,topic_id,topic_words
EU_AI_Act_Regulation_2024_1689_chunk_47,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_48,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_49,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_50,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_51,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_52,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_53,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_54,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_55,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_56,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_57,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_58,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_59,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_60,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_61,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_62,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_63,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_64,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_65,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_66,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_67,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_68,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_69,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_70,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_71,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_72,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
